score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
15.7393,1065,14.08,14.08,0.6103,10,10,vs/editor/common/viewLayout/viewLineRenderer.ts
15.7356,803,18.50,18.50,0.5394,15,1,vs/base/common/map.ts
15.5669,581,25.00,25.00,0.5922,5,46,vs/workbench/contrib/chat/browser/agentPluginsView.ts
15.5500,449,33.00,33.00,0.4881,4,27,vs/workbench/contrib/chat/browser/attachments/chatImplicitContext.ts
15.5376,389,38.00,38.00,0.5175,4,29,vs/workbench/contrib/chat/browser/chatManagement/chatManagementEditor.ts
15.4671,1631,8.48,8.48,0.5149,12,61,vs/workbench/contrib/terminal/browser/terminalActions.ts
15.4008,709,20.75,20.75,0.3438,3,25,vs/workbench/contrib/chat/browser/promptSyntax/pickers/promptFilePickers.ts
15.2371,428,34.50,34.50,0.6157,6,5,vs/workbench/services/authentication/common/authentication.ts
15.1649,524,28.00,28.00,0.4083,3,13,vs/editor/browser/observableCodeEditor.ts
15.0726,555,25.00,25.00,0.5496,10,39,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions.ts
15.0480,1658,8.08,8.08,0.6568,15,54,vs/workbench/contrib/remote/browser/tunnelView.ts
14.9542,554,26.00,26.00,0.5994,6,10,vs/base/browser/ui/sash/sash.ts
14.9123,675,21.00,21.00,0.7108,10,11,vs/platform/actions/common/actions.ts
14.8816,877,15.71,15.71,0.5595,9,36,vs/workbench/api/common/extHostWorkspace.ts
14.8652,839,16.00,16.00,0.4151,7,63,vs/editor/browser/view.ts
14.7151,325,44.00,44.00,0.4395,4,5,vs/base/parts/storage/common/storage.ts
14.5667,294,48.00,48.00,0.6013,5,7,vs/workbench/contrib/debug/browser/debugColors.ts
14.5596,606,22.33,22.33,0.5177,7,37,vs/workbench/contrib/debug/browser/watchExpressionsView.ts
14.5347,963,14.47,14.47,0.5667,3,23,vs/workbench/services/themes/common/colorThemeData.ts
14.4390,238,59.00,59.00,0.4118,2,10,vs/editor/common/commands/shiftCommand.ts
14.0840,427,32.00,32.00,0.6801,5,6,vs/platform/editor/common/editor.ts
